Jota | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/403889803
Mercato | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=pasta;pizza;italian | osm=way/410346877
Medieval | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/434946043
Fodie | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=way/434950248
Bar Gamer | sector=Centro | categoria_id=2 | amenity=bar | cuisine=(sin tag) | osm=way/435898979
Grado 3 | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=japanese | osm=way/435899649
City Bar | sector=Centro | categoria_id=2 | amenity=bar | cuisine=(sin tag) | osm=way/435900193
Picamaderos | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/435900417
Nuevo Campesino | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/435900860
Bimba | sector=Centro | categoria_id=2 | amenity=bar | cuisine=(sin tag) | osm=way/436494491
Chile Güey (Mexicana) | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=thai | osm=way/462199092
1960 | sector=Centro | categoria_id=2 | amenity=bar | cuisine=(sin tag) | osm=way/463267573
Salon Pool | sector=Niebla | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/478362884
Tesoro del Mar | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/489067586
Restaurant Escuela Liceo Tecnico | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/504127071
Indio Pije | sector=Niebla | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/515100623
La Terraza | sector=Niebla | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/515109590
La Herradura | sector=Las Gaviotas | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/517476351
Entre Faros | sector=Niebla | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/520371089
Casa Negra | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/542667089
La Cevichería | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/574636138
La Picá de Cochrane | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/576877651
Dasud | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=pizza;pasta | osm=way/589974757
La Pizzeria de Renzo | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=pizza | osm=way/601893447
Cava | sector=Centro | categoria_id=2 | amenity=bar | cuisine=(sin tag) | osm=way/619631422
Mia | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/619631424
Corazón Contento | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=pizza | osm=way/744339569
Animeños | sector=Centro | categoria_id=2 | amenity=bar | cuisine=(sin tag) | osm=way/771222199
